,Package name,Reviewer name,Review,Rating
0,com.apalon.to.do.list,Shea Kelly,good app tracking building good habit help feel successful slowly build health habit like drinking water exercise start small grow limitation figure make account save data also reminder stats unlimited habit free subscription primary reason gave three star,3
1,com.apalon.to.do.list,A Google user,app generally well designed pleasing visual style much habit tracker tried worked consistently intended would perfect need unfortunately version still full bug inconsistency example habit name history edited others clear indication limitation exists,3
2,com.apalon.to.do.list,Sush,design functionality app good get started tracking habit first glance feel like trying past day one though constant reminder purchase premium wanted try feature get premium see good fit focus seems ensuring payment captured letting someone actually try allow justify need pay high premium,3
3,com.apalon.to.do.list,Thomas Nowroski,worthless app unfortunately bought premium version fifty fourteen ninety-nine even worth penny thing paid version let create unlimited routine check complete skip even notify set time notification everything app free via checklist calendar,1
4,com.apalon.to.do.list,A Google user,honest request lower price app iphone paid small one time fee premium version absolutely loved app best habit tracker imo clean intuitive goldilocks little much functionality excited see released android promptly discouraged high pay wall erected fantastic app however price far high justify would prefer see fifty reduction,3
5,com.apalon.to.do.list,Jessica Lonkey,fine continue use subscription ui beautiful bug clean easy use however basic pay hoping least widget could reminded without open app check notification none going continue use google calendar task list failed receive reminder upcoming charge staying,3
6,com.apalon.to.do.list,Court Smith,installed add three task pay get ton notice try get pay even hit interface nice clean easy use exactly looking seven mo thirty yr use list would definitely pay one time fee subscription model way expensive think could help adhd ton much list get refreshed everyday uninstall,2
7,com.apalon.to.do.list,Deborah Grant,basic decent tracking ability figure need instruction page also fewer option customizing would like bring blank task fill know goal need one want set feature like give u variety sound volume task notification far see stuck little doink dumb soft improvement could made job,3
8,com.apalon.to.do.list,A Google user,highly impressed app really task list habit related item included better sleep subitems like go bed tenpm picking give reminder set given time customize color icon recurrence etc create category pretty much finding requires agreeing free trial subscription model kick nearly seven month canceled via play day expect charge,1
9,com.apalon.to.do.list,Alex Metry,well designed app willing spend thirty year subscription could justify one time purchase subscription easy set goal app ui clean looking however focus much streak make easier le strict check something continue streak also great job helping set specific goal steep price need couple improvement,2
10,com.apalon.to.do.list,Grace L,think app useful far able make many task want whatever symbol participate special task challenge without premium version think app really good abt add either many option task u skip complete mark really easy fun make new task really keep track love much u free version great app,5
11,com.apalon.to.do.list,Ashley Powell,mental disability app super helpful helping really get back thing however wish feature could add something like calendar use app assistant schedule crucial put appointment event know boost productivity would helpful could one place,4
12,com.apalon.to.do.list,A Google user,pretty motivating seeing streak negative experience adding goal thought goal meant extra notification managed perform habit successfully predefined streak day actually goal time within day set goal one hundred pushup day x five day realized goal one hundredxfive day tried turn cannot turn set think bug,4
13,com.apalon.to.do.list,James Davis,like app alright far closest thing found need missing customizable time chunk stuff need right wake whole different set thing need rest morning evening v bedtime especially putting school mix subroutine yeah need moisturize part bigger morning hygiene routine list within list want advanced mode,3
14,com.apalon.to.do.list,Shreya Halbe,many premium feature app without non premium feature subscription cannot justified four task whole point app track task subscription absurdly expensive productitvity app moment saw much potential much could done deleted hope improve love download use least half purpose without buy premium,2
15,com.apalon.to.do.list,William Hovenden,app meant without costing much break bank wish widget could track progress see need without opening app every time find forgetting even app time using sometimes due seeing remembering widget would significantly better,3
16,com.apalon.to.do.list,Tanbia Mills,sign access cancel subscription making hard people like slickness two star concept simple layout wanted keep think fabulous app offer way helpful keeping instead thought mind check worth keep update literally uninstall app search google sign productive tracker apalon home page sign cancel,2
17,com.apalon.to.do.list,A Google user,got greedy used iphone productive offered two version free paid free version offered six habit gazillion icon icon color customization tool paid version flat rate worth android version suck free version includes four habit icon six color instead paying flat rate upgrade want subscribe pay seven monthly pay flat rate subscribe never p widget,1
18,com.apalon.to.do.list,Jessica Edwards,wanted like notification never worked even though double triple checked notification setting app directly setting well giving app priority notification opened app day trial period would notification start popping layout nice main need app prompt notification keep track failed,2
19,com.apalon.to.do.list,Madeline Folz,saying four habit free version misleading implied always four fact four time delete fourth habit day tally cumulative thought might set wrong going enter well try save habit brings pay wall closing take back edit screen save,2
20,com.apalon.to.do.list,Jessica Axelson,really hoping better experience app even purchased add free option wish deleting app together graphic beautiful app user friendly mean found option rate app able straight line contact leaving review prior reaching customer service interest staying app reason reach would refund,2
21,com.apalon.to.do.list,Lexie “StrawB3rryJ3lly”,using app year iphone example premium lifetime access one time fee extremely happy find play store switched android however transfer year data ok deal restore premium purchase either sad app first time year great run lasted,2
22,com.apalon.to.do.list,A Google user,really like interface harassment subscribe get limited feature able anything without hounded subscribe option ridiculous great looking app sure would meet need sure another one meet need without constantly beating head impending subscription service thank,2
23,com.apalon.to.do.list,Emily Friel,worth money signed seven day free trial forgot unsubscribe ended paying full year ended removing app overriding disturb setting phone waking notification sixam tried everything get stop find solution bin went,1
24,com.apalon.to.do.list,Evan Buyok,kind wish monthly subscription time know nothing life free would much rather pay fee see ad every ten second like free apps procrastinator find app incredibly useful work home issue procrastination would definitely give app try even free trial get see like make pay dime awesome,5
25,com.apalon.to.do.list,A Google user,nice ui happy pay one time purchase subscription especially one cost much one make sense app habit tracker service provided reason would pay every month use app like one extremely important developer able monetize thing make time picking monetization method bad fit selling kill interest,2
26,com.apalon.to.do.list,Kai Jun,great looking app created account tried device tried log phone previously created habit sync find backup restore button neither found mention ad subscription ad show countdown x detail premium offer assuming app sync across device pay subscription hard pas disappoints even decide,2
27,com.apalon.to.do.list,Savannah,really like ap however unless sive done something wrong give reminder even set challenge task open app see good great keeping habit forgetful additionally open app day assumes missed challenge day opposed asking challenge,4
28,com.apalon.to.do.list,Amanda,love design app easy navigate look beautiful colour scheme graphic complaint misleading say app free pay install pay subscription get good use free trial version allows habit constantly pop ups subscribe totally understandable developer advertise free maybe say free version limited something,4
29,com.apalon.to.do.list,Manuel Kirchen,app seems well designed smooth beautiful design free version test app without engaging pay seven day trial free input credit card debited resign especially app automatically bill yearly fee cost really high seven month way much app one time fee seven would still high price compared apps,1
30,com.apalon.to.do.list,A Google user,app pretty happy find habit tracker beautiful interface change however many reviewer already pointed one free version way limited six seven habit sound lot raisonnable opinion still incentivizing people purchase full version two premium version requires monthly subscription work app right one time purchase seems much raisonable,3
31,com.apalon.to.do.list,Nicholas Koukoutsis,love app use keep track daily routine two major gripe first gripe layout spacing everything compact feel like fun view managing view making thing slightly compact go long way helping actually manage day productive last gripe able sync premium subscription ipad,3
32,com.apalon.to.do.list,Shaun Myandee,even try app forced free trial renews insanely expensive annual plan worth plenty alternative let try committing sort premium version edit indeed tiny exit button top trial screen press continue app subscription notice popping frequently still obnoxious le,2
33,com.apalon.to.do.list,A Google user,used use app year ago io absolutely favourite habit tracker app nothing else could compare however remember correctly eight full version one time payment absolutely worth eight time utterly disappointed find eleven per month excited finally see app android hope completely crushed seeing happy pay even twenty one time payment eleven month,1
34,com.apalon.to.do.list,A Google user,look decent good interface idea find way around immediate ad attempt sell subscription limited around four habit tell reached limit pay get worth suggestion allow ten free habit lower subscription price lot,2
35,com.apalon.to.do.list,Aaryan Moin,app really nice looking ui super smooth beautiful also functional great feature huge downside however account system multi device sync also veeery expensive nine month get office three hundred sixty-five subscription lot cheaper much app app clearly lot time care put money really enjoy people amount money worth,2
36,com.apalon.to.do.list,Jordy,nice app great ui visuals animation however useless annoy user subscription popups time either offer paid app remove popups limit functionality another problem monthly fee high especially additional benefit limited ton free alternative could five star app thing improved,2
37,com.apalon.to.do.list,Esteban Palacios,great app free version worth like usually pay premium subscription important feature necessary basic experience would recommend change tactic case limiting amount habit really hurt plus intensity premium incentive also felt better offer premium subscription much offer unlimited habit rely ad non interfering one ad wall,3
38,com.apalon.to.do.list,Melanie Gesy,really enjoyed app issue notification want make noise yet first one day seems override dnd setting make noise still want notification screen noise seem turn without disabling notification system setting app great alternative habit app start f want name,3
39,com.apalon.to.do.list,A Google user,app fine artwork alone make enjoyable track habbits le function habbit tracker apps subcription ridiculously high look okay pay simple app like rather one comparing market expensive little unique value,2
40,com.apalon.to.do.list,Joel Cheung,thing like beautiful ui design app like simplicity thing structured pleasure use see lot effort put ux design app thing like trial pay monthly sub screen trying would put yearly subscription half review issue need explain person review damage control saying get charged trial whatever sure problem issue still hearing complain long app play store trail pay screen get update explain payment work better user feel tricked subscription paid apps great go back app getting better time frankly see also would likely paid trial month two without lock year,2
